2025-02-28 14:26:34 - Machine initialized with clock rate: 23 ticks/second
2025-02-28 14:26:46 - Received message from Machine 1, Queue length: 5, Logical clock: 718
2025-02-28 14:26:46 - Received message from Machine 1, Queue length: 4, Logical clock: 722
2025-02-28 14:26:46 - Received message from Machine 1, Queue length: 4, Logical clock: 727
2025-02-28 14:26:46 - Received message from Machine 0, Queue length: 5, Logical clock: 733
2025-02-28 14:26:46 - Received message from Machine 1, Queue length: 5, Logical clock: 737
2025-02-28 14:26:46 - Received message from Machine 0, Queue length: 4, Logical clock: 738
2025-02-28 14:26:46 - Received message from Machine 1, Queue length: 3, Logical clock: 750
2025-02-28 14:26:46 - Received message from Machine 0, Queue length: 4, Logical clock: 754
2025-02-28 14:26:46 - Received message from Machine 1, Queue length: 5, Logical clock: 756
2025-02-28 14:26:46 - Received message from Machine 1, Queue length: 4, Logical clock: 758
2025-02-28 14:26:46 - Received message from Machine 1, Queue length: 4, Logical clock: 770
2025-02-28 14:26:46 - Received message from Machine 1, Queue length: 3, Logical clock: 771
2025-02-28 14:26:46 - Received message from Machine 0, Queue length: 3, Logical clock: 772
2025-02-28 14:26:46 - Received message from Machine 0, Queue length: 3, Logical clock: 773
2025-02-28 14:26:46 - Received message from Machine 1, Queue length: 3, Logical clock: 780
2025-02-28 14:26:46 - Received message from Machine 0, Queue length: 2, Logical clock: 784
2025-02-28 14:26:46 - Received message from Machine 0, Queue length: 1, Logical clock: 788
2025-02-28 14:26:46 - Received message from Machine 1, Queue length: 1, Logical clock: 793
2025-02-28 14:26:47 - Received message from Machine 1, Queue length: 0, Logical clock: 805
2025-02-28 14:26:47 - Received message from Machine 1, Queue length: 1, Logical clock: 810
2025-02-28 14:26:47 - Received message from Machine 1, Queue length: 0, Logical clock: 812
2025-02-28 14:26:47 - Sent message to Machine 1, Logical clock: 813
2025-02-28 14:26:47 - Internal event, Logical clock: 814
2025-02-28 14:26:47 - Received message from Machine 1, Queue length: 0, Logical clock: 826
2025-02-28 14:26:47 - Received message from Machine 1, Queue length: 2, Logical clock: 829
2025-02-28 14:26:47 - Received message from Machine 0, Queue length: 2, Logical clock: 830
2025-02-28 14:26:47 - Received message from Machine 0, Queue length: 3, Logical clock: 831
2025-02-28 14:26:47 - Received message from Machine 0, Queue length: 3, Logical clock: 832
2025-02-28 14:26:47 - Received message from Machine 1, Queue length: 3, Logical clock: 835
2025-02-28 14:26:47 - Received message from Machine 0, Queue length: 3, Logical clock: 836
2025-02-28 14:26:47 - Received message from Machine 1, Queue length: 5, Logical clock: 839
2025-02-28 14:26:47 - Received message from Machine 1, Queue length: 5, Logical clock: 845
2025-02-28 14:26:47 - Received message from Machine 1, Queue length: 5, Logical clock: 847
2025-02-28 14:26:47 - Received message from Machine 1, Queue length: 6, Logical clock: 848
2025-02-28 14:26:47 - Received message from Machine 1, Queue length: 7, Logical clock: 850
2025-02-28 14:26:47 - Received message from Machine 1, Queue length: 7, Logical clock: 851
2025-02-28 14:26:47 - Received message from Machine 1, Queue length: 7, Logical clock: 852
2025-02-28 14:26:47 - Received message from Machine 1, Queue length: 7, Logical clock: 857
2025-02-28 14:26:47 - Received message from Machine 0, Queue length: 6, Logical clock: 860
2025-02-28 14:26:48 - Received message from Machine 0, Queue length: 5, Logical clock: 861
2025-02-28 14:26:48 - Received message from Machine 1, Queue length: 4, Logical clock: 863
2025-02-28 14:26:48 - Received message from Machine 0, Queue length: 5, Logical clock: 864
2025-02-28 14:26:48 - Received message from Machine 0, Queue length: 6, Logical clock: 865
2025-02-28 14:26:48 - Received message from Machine 0, Queue length: 5, Logical clock: 866
2025-02-28 14:26:48 - Received message from Machine 0, Queue length: 4, Logical clock: 868
2025-02-28 14:26:48 - Received message from Machine 0, Queue length: 4, Logical clock: 877
2025-02-28 14:26:48 - Received message from Machine 0, Queue length: 6, Logical clock: 878
2025-02-28 14:26:48 - Received message from Machine 1, Queue length: 6, Logical clock: 891
2025-02-28 14:26:48 - Received message from Machine 1, Queue length: 6, Logical clock: 893
2025-02-28 14:26:48 - Received message from Machine 1, Queue length: 6, Logical clock: 903
2025-02-28 14:26:48 - Received message from Machine 1, Queue length: 5, Logical clock: 907
2025-02-28 14:26:48 - Received message from Machine 1, Queue length: 6, Logical clock: 908
2025-02-28 14:26:48 - Received message from Machine 0, Queue length: 8, Logical clock: 909
2025-02-28 14:26:48 - Received message from Machine 1, Queue length: 7, Logical clock: 910
2025-02-28 14:26:48 - Received message from Machine 1, Queue length: 7, Logical clock: 913
2025-02-28 14:26:48 - Received message from Machine 1, Queue length: 6, Logical clock: 916
2025-02-28 14:26:48 - Received message from Machine 1, Queue length: 5, Logical clock: 923
2025-02-28 14:26:48 - Received message from Machine 1, Queue length: 5, Logical clock: 925
2025-02-28 14:26:48 - Received message from Machine 0, Queue length: 5, Logical clock: 926
2025-02-28 14:26:48 - Received message from Machine 1, Queue length: 6, Logical clock: 927
2025-02-28 14:26:49 - Received message from Machine 1, Queue length: 5, Logical clock: 929
2025-02-28 14:26:49 - Received message from Machine 1, Queue length: 5, Logical clock: 935
2025-02-28 14:26:49 - Received message from Machine 1, Queue length: 6, Logical clock: 945
2025-02-28 14:26:49 - Received message from Machine 1, Queue length: 5, Logical clock: 950
2025-02-28 14:26:49 - Received message from Machine 0, Queue length: 4, Logical clock: 951
2025-02-28 14:26:49 - Received message from Machine 1, Queue length: 3, Logical clock: 953
2025-02-28 14:26:49 - Received message from Machine 0, Queue length: 3, Logical clock: 958
2025-02-28 14:26:49 - Received message from Machine 1, Queue length: 2, Logical clock: 962
2025-02-28 14:26:49 - Received message from Machine 1, Queue length: 2, Logical clock: 964
2025-02-28 14:26:49 - Received message from Machine 1, Queue length: 3, Logical clock: 980
2025-02-28 14:26:49 - Received message from Machine 1, Queue length: 3, Logical clock: 984
2025-02-28 14:26:49 - Received message from Machine 1, Queue length: 2, Logical clock: 989
2025-02-28 14:26:49 - Received message from Machine 0, Queue length: 2, Logical clock: 990
2025-02-28 14:26:49 - Received message from Machine 1, Queue length: 2, Logical clock: 992
2025-02-28 14:26:49 - Received message from Machine 1, Queue length: 2, Logical clock: 1001
2025-02-28 14:26:49 - Received message from Machine 1, Queue length: 2, Logical clock: 1004
2025-02-28 14:26:49 - Received message from Machine 1, Queue length: 3, Logical clock: 1008
2025-02-28 14:26:49 - Received message from Machine 1, Queue length: 4, Logical clock: 1012
2025-02-28 14:26:49 - Received message from Machine 1, Queue length: 4, Logical clock: 1014
2025-02-28 14:26:49 - Received message from Machine 1, Queue length: 3, Logical clock: 1015
2025-02-28 14:26:49 - Received message from Machine 1, Queue length: 2, Logical clock: 1017
2025-02-28 14:26:50 - Received message from Machine 1, Queue length: 2, Logical clock: 1019
2025-02-28 14:26:50 - Received message from Machine 1, Queue length: 2, Logical clock: 1021
2025-02-28 14:26:50 - Received message from Machine 1, Queue length: 1, Logical clock: 1034
