2025-02-28 14:32:09 - Machine initialized with clock rate: 13 ticks/second
2025-02-28 14:32:11 - Internal event, Logical clock: 1
2025-02-28 14:32:32 - Received message from Machine 2, Queue length: 8, Logical clock: 930
2025-02-28 14:32:32 - Received message from Machine 2, Queue length: 8, Logical clock: 931
2025-02-28 14:32:32 - Received message from Machine 2, Queue length: 8, Logical clock: 936
2025-02-28 14:32:32 - Received message from Machine 2, Queue length: 7, Logical clock: 940
2025-02-28 14:32:32 - Received message from Machine 1, Queue length: 8, Logical clock: 943
2025-02-28 14:32:32 - Received message from Machine 2, Queue length: 8, Logical clock: 953
2025-02-28 14:32:32 - Received message from Machine 2, Queue length: 9, Logical clock: 954
2025-02-28 14:32:32 - Received message from Machine 2, Queue length: 9, Logical clock: 955
2025-02-28 14:32:33 - Received message from Machine 1, Queue length: 9, Logical clock: 957
2025-02-28 14:32:33 - Received message from Machine 2, Queue length: 10, Logical clock: 963
2025-02-28 14:32:33 - Received message from Machine 1, Queue length: 10, Logical clock: 968
2025-02-28 14:32:33 - Received message from Machine 1, Queue length: 10, Logical clock: 972
2025-02-28 14:32:33 - Received message from Machine 2, Queue length: 9, Logical clock: 974
2025-02-28 14:32:33 - Received message from Machine 2, Queue length: 9, Logical clock: 979
2025-02-28 14:32:33 - Received message from Machine 2, Queue length: 9, Logical clock: 981
2025-02-28 14:32:33 - Received message from Machine 2, Queue length: 8, Logical clock: 982
2025-02-28 14:32:33 - Received message from Machine 2, Queue length: 8, Logical clock: 986
2025-02-28 14:32:33 - Received message from Machine 2, Queue length: 8, Logical clock: 990
2025-02-28 14:32:33 - Received message from Machine 2, Queue length: 8, Logical clock: 992
2025-02-28 14:32:33 - Received message from Machine 2, Queue length: 8, Logical clock: 993
2025-02-28 14:32:34 - Received message from Machine 2, Queue length: 8, Logical clock: 998
2025-02-28 14:32:34 - Received message from Machine 1, Queue length: 9, Logical clock: 1000
2025-02-28 14:32:34 - Received message from Machine 2, Queue length: 8, Logical clock: 1008
2025-02-28 14:32:34 - Received message from Machine 2, Queue length: 9, Logical clock: 1011
2025-02-28 14:32:34 - Received message from Machine 2, Queue length: 8, Logical clock: 1019
2025-02-28 14:32:34 - Received message from Machine 1, Queue length: 9, Logical clock: 1023
2025-02-28 14:32:34 - Received message from Machine 2, Queue length: 8, Logical clock: 1027
2025-02-28 14:32:34 - Received message from Machine 2, Queue length: 7, Logical clock: 1034
2025-02-28 14:32:34 - Received message from Machine 2, Queue length: 7, Logical clock: 1035
2025-02-28 14:32:34 - Received message from Machine 1, Queue length: 8, Logical clock: 1038
2025-02-28 14:32:34 - Received message from Machine 2, Queue length: 9, Logical clock: 1040
2025-02-28 14:32:34 - Received message from Machine 1, Queue length: 10, Logical clock: 1045
2025-02-28 14:32:34 - Received message from Machine 2, Queue length: 9, Logical clock: 1047
2025-02-28 14:32:35 - Received message from Machine 2, Queue length: 11, Logical clock: 1054
2025-02-28 14:32:35 - Received message from Machine 2, Queue length: 11, Logical clock: 1055
2025-02-28 14:32:35 - Received message from Machine 2, Queue length: 11, Logical clock: 1064
2025-02-28 14:32:35 - Received message from Machine 1, Queue length: 13, Logical clock: 1068
2025-02-28 14:32:35 - Received message from Machine 2, Queue length: 12, Logical clock: 1071
2025-02-28 14:32:35 - Received message from Machine 2, Queue length: 11, Logical clock: 1072
2025-02-28 14:32:35 - Received message from Machine 1, Queue length: 12, Logical clock: 1073
2025-02-28 14:32:35 - Received message from Machine 2, Queue length: 11, Logical clock: 1077
2025-02-28 14:32:35 - Received message from Machine 2, Queue length: 12, Logical clock: 1078
2025-02-28 14:32:35 - Received message from Machine 2, Queue length: 13, Logical clock: 1084
2025-02-28 14:32:35 - Received message from Machine 2, Queue length: 13, Logical clock: 1085
2025-02-28 14:32:35 - Received message from Machine 2, Queue length: 13, Logical clock: 1086
2025-02-28 14:32:36 - Received message from Machine 2, Queue length: 13, Logical clock: 1087
2025-02-28 14:32:36 - Received message from Machine 2, Queue length: 13, Logical clock: 1091
2025-02-28 14:32:36 - Received message from Machine 1, Queue length: 13, Logical clock: 1094
2025-02-28 14:32:36 - Received message from Machine 2, Queue length: 12, Logical clock: 1095
2025-02-28 14:32:36 - Received message from Machine 2, Queue length: 12, Logical clock: 1097
2025-02-28 14:32:36 - Received message from Machine 2, Queue length: 13, Logical clock: 1106
2025-02-28 14:32:36 - Received message from Machine 1, Queue length: 12, Logical clock: 1107
2025-02-28 14:32:36 - Received message from Machine 2, Queue length: 13, Logical clock: 1115
2025-02-28 14:32:36 - Received message from Machine 1, Queue length: 13, Logical clock: 1116
2025-02-28 14:32:36 - Received message from Machine 1, Queue length: 13, Logical clock: 1117
2025-02-28 14:32:36 - Received message from Machine 2, Queue length: 14, Logical clock: 1119
2025-02-28 14:32:36 - Received message from Machine 1, Queue length: 15, Logical clock: 1123
2025-02-28 14:32:36 - Received message from Machine 1, Queue length: 14, Logical clock: 1124
2025-02-28 14:32:37 - Received message from Machine 2, Queue length: 14, Logical clock: 1129
2025-02-28 14:32:37 - Received message from Machine 2, Queue length: 14, Logical clock: 1133
2025-02-28 14:32:37 - Received message from Machine 1, Queue length: 15, Logical clock: 1136
2025-02-28 14:32:37 - Received message from Machine 2, Queue length: 15, Logical clock: 1146
2025-02-28 14:32:37 - Received message from Machine 1, Queue length: 14, Logical clock: 1147
2025-02-28 14:32:37 - Received message from Machine 1, Queue length: 13, Logical clock: 1148
2025-02-28 14:32:37 - Received message from Machine 1, Queue length: 13, Logical clock: 1153
2025-02-28 14:32:37 - Received message from Machine 2, Queue length: 12, Logical clock: 1157
2025-02-28 14:32:37 - Received message from Machine 2, Queue length: 14, Logical clock: 1159
